label,url
"River Market North Stop","https://arrivals.kcstreetcar.org/rmn"
"River Market West Stop","https://arrivals.kcstreetcar.org/rmw"
"City Market Stop","https://arrivals.kcstreetcar.org/cmk"
"North Loop Stops","https://arrivals.kcstreetcar.org/nlnnls"
"Library Stops","https://arrivals.kcstreetcar.org/lbnlbs"
"Metro Center Stops","https://arrivals.kcstreetcar.org/mcnmcs"
"Power & Light Stops","https://arrivals.kcstreetcar.org/plnpls"
"Kauffman Center Stops","https://arrivals.kcstreetcar.org/kcnkcs"
"Crossroads Stops","https://arrivals.kcstreetcar.org/crncrs"
"Union Station Stops","https://arrivals.kcstreetcar.org/usnuss"
"WWI Museum & Memorial Stops","https://arrivals.kcstreetcar.org/wwnwws"
"Union Hill Stops","https://arrivals.kcstreetcar.org/uhnuhs"
"Armour Stops","https://arrivals.kcstreetcar.org/arnars"
"Westport Stops","https://arrivals.kcstreetcar.org/wpnwps"
"Southmoreland Stops","https://arrivals.kcstreetcar.org/smnsms"
"Art Museums Stops","https://arrivals.kcstreetcar.org/amnams"
"Plaza Stops","https://arrivals.kcstreetcar.org/pznpzs"
"UMKC Stops","https://arrivals.kcstreetcar.org/umn"
